epoch,fees,openInterest,stakedDYDX,numTraders,totalTraderScore,close
1,6054641.218,170293617.912,0.0,9979,64760847,20.972
2,83476417.695,196342688.532,0.0,11175,156288754,18.849
3,70801143.162,200980039.716,0.0,8502,136583326,14.181
4,52899045.828,175289739.45,0.0,6448,91997522,7.398
5,2176282.284,164673930.09,20574299.548,4876,56500160,7.415
6,1244266.15,127578968.971,25490720.0,5008,44815330,7.436
7,640498.892,109582046.721,36520010.0,5347,40647086,4.534
