date,epoch,epochStart,epochEnd,openInterest,stakedDYDX,weight,totalRewards,fees_api,numTraders,totalTraderScore,metabase_volume,fees_metabase,fees_epoch_review,close
2021-08-31,1,2021-08-31,2021-09-28,170293617.912,0.0,0.682,3835616.0,6054641.218,9979,64760847,49843854611,24921927.306,33900000.0,20.972
2021-09-28,2,2021-09-28,2021-10-26,196342688.532,0.0,0.742,3835616.0,83476417.695,11175,156288754,93386615022,46693307.511,64000000.0,18.849
2021-10-26,3,2021-10-26,2021-11-23,200980039.716,0.0,0.688,3835616.0,70801143.162,8502,136583326,87346051667,43673025.834,55000000.0,14.181
2021-11-23,4,2021-11-23,2021-12-21,175289739.45,0.0,0.702,3835616.0,52899045.828,6448,91997522,61014239531,30507119.766,39000000.0,7.398
2021-12-21,5,2021-12-21,2022-01-18,164673930.09,20574299.548,0.619,3835616.0,2176282.284,4876,56500160,39835393021,19917696.51,24000000.0,7.415
2022-01-18,6,2022-01-18,2022-02-15,127578968.971,25490720.0,0.63,3835616.0,1244266.15,5008,44815330,73237906305,18309476.576,17000000.0,7.436
2022-02-15,7,2022-02-15,2022-03-15,109582046.721,36520010.0,0.591,3835616.0,640498.892,5347,40647086,66861025205,16715256.301,15000000.0,4.534
